PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 3.2800e-01    1.4483e+02   -6.3511e-01    1.1955e+00
 3.2900e-01    1.4488e+02   -6.3402e-01    1.1947e+00
 3.3000e-01    1.4494e+02   -6.3280e-01    1.1937e+00
 3.3100e-01    1.4499e+02   -6.3149e-01    1.1929e+00
 3.3200e-01    1.4505e+02   -6.3012e-01    1.1917e+00
 3.3300e-01    1.4511e+02   -6.2873e-01    1.1908e+00
 3.3400e-01    1.4517e+02   -6.2734e-01    1.1898e+00
 3.3500e-01    1.4522e+02   -6.2604e-01    1.1887e+00
 3.3600e-01    1.4527e+02   -6.2484e-01    1.1881e+00
 3.3700e-01    1.4532e+02   -6.2377e-01    1.1870e+00
 3.3800e-01    1.4537e+02   -6.2285e-01    1.1862e+00
 3.3900e-01    1.4540e+02   -6.2214e-01    1.1858e+00
 3.4000e-01    1.4543e+02   -6.2163e-01    1.1850e+00
 3.4100e-01    1.4546e+02   -6.2132e-01    1.1846e+00
 3.4200e-01    1.4548e+02   -6.2120e-01    1.1843e+00
 3.4300e-01    1.4550e+02   -6.2129e-01    1.1840e+00
 3.4400e-01    1.4550e+02   -6.2153e-01    1.1837e+00
 3.4500e-01    1.4551e+02   -6.2195e-01    1.1837e+00
 3.4600e-01    1.4551e+02   -6.2247e-01    1.1839e+00
 3.4700e-01    1.4551e+02   -6.2308e-01    1.1837e+00
 3.4800e-01    1.4551e+02   -6.2371e-01    1.1837e+00
 3.4900e-01    1.4551e+02   -6.2437e-01    1.1838e+00
 3.5000e-01    1.4551e+02   -6.2498e-01    1.1837e+00
 3.5100e-01    1.4552e+02   -6.2546e-01    1.1838e+00
 3.5200e-01    1.4552e+02   -6.2581e-01    1.1837e+00
 3.5300e-01    1.4553e+02   -6.2600e-01    1.1833e+00
 3.5400e-01    1.4555e+02   -6.2601e-01    1.1833e+00
 3.5500e-01    1.4557e+02   -6.2584e-01    1.1827e+00
 3.5600e-01    1.4560e+02   -6.2550e-01    1.1822e+00
 3.5700e-01    1.4563e+02   -6.2496e-01    1.1818e+00
 3.5800e-01    1.4567e+02   -6.2426e-01    1.1811e+00
 3.5900e-01    1.4571e+02   -6.2341e-01    1.1804e+00
 3.6000e-01    1.4575e+02   -6.2241e-01    1.1795e+00
 3.6100e-01    1.4580e+02   -6.2130e-01    1.1787e+00
 3.6200e-01    1.4586e+02   -6.2012e-01    1.1779e+00
 3.6300e-01    1.4591e+02   -6.1887e-01    1.1768e+00
 3.6400e-01    1.4596e+02   -6.1761e-01    1.1760e+00
 3.6500e-01    1.4602e+02   -6.1637e-01    1.1750e+00
 3.6600e-01    1.4607e+02   -6.1517e-01    1.1741e+00
 3.6700e-01    1.4612e+02   -6.1403e-01    1.1733e+00
 3.6800e-01    1.4617e+02   -6.1302e-01    1.1724e+00
 3.6900e-01    1.4621e+02   -6.1216e-01    1.1718e+00
 3.7000e-01    1.4624e+02   -6.1146e-01    1.1712e+00
 3.7100e-01    1.4628e+02   -6.1094e-01    1.1705e+00
 3.7200e-01    1.4630e+02   -6.1060e-01    1.1701e+00
 3.7300e-01    1.4632e+02   -6.1046e-01    1.1698e+00
 3.7400e-01    1.4634e+02   -6.1051e-01    1.1695e+00
 3.7500e-01    1.4635e+02   -6.1072e-01    1.1694e+00
 3.7600e-01    1.4635e+02   -6.1111e-01    1.1692e+00
 3.7700e-01    1.4635e+02   -6.1170e-01    1.1693e+00
 3.7800e-01    1.4635e+02   -6.1241e-01    1.1692e+00
 3.7900e-01    1.4634e+02   -6.1323e-01    1.1695e+00
 3.8000e-01    1.4633e+02   -6.1412e-01    1.1695e+00
 3.8100e-01    1.4632e+02   -6.1500e-01    1.1697e+00
 3.8200e-01    1.4631e+02   -6.1581e-01    1.1699e+00
 3.8300e-01    1.4631e+02   -6.1650e-01    1.1700e+00
 3.8400e-01    1.4631e+02   -6.1701e-01    1.1699e+00
 3.8500e-01    1.4632e+02   -6.1729e-01    1.1699e+00
 3.8600e-01    1.4634e+02   -6.1734e-01    1.1696e+00
 3.8700e-01    1.4636e+02   -6.1712e-01    1.1692e+00
 3.8800e-01    1.4639e+02   -6.1661e-01    1.1686e+00
 3.8900e-01    1.4643e+02   -6.1580e-01    1.1681e+00
 3.9000e-01    1.4648e+02   -6.1472e-01    1.1672e+00
 3.9100e-01    1.4653e+02   -6.1342e-01    1.1663e+00
 3.9200e-01    1.4659e+02   -6.1191e-01    1.1652e+00
 3.9300e-01    1.4665e+02   -6.1024e-01    1.1641e+00
 3.9400e-01    1.4671e+02   -6.0852e-01    1.1632e+00
 3.9500e-01    1.4678e+02   -6.0677e-01    1.1620e+00
 3.9600e-01    1.4684e+02   -6.0506e-01    1.1609e+00
