PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 3.2300e-01    1.3771e+02   -9.1820e-01    1.0551e+00
 3.2400e-01    1.3772e+02   -9.1814e-01    1.0550e+00
 3.2500e-01    1.3772e+02   -9.1808e-01    1.0550e+00
 3.2600e-01    1.3772e+02   -9.1803e-01    1.0549e+00
 3.2700e-01    1.3773e+02   -9.1798e-01    1.0548e+00
 3.2800e-01    1.3773e+02   -9.1795e-01    1.0548e+00
 3.2900e-01    1.3774e+02   -9.1792e-01    1.0547e+00
 3.3000e-01    1.3774e+02   -9.1789e-01    1.0546e+00
 3.3100e-01    1.3775e+02   -9.1785e-01    1.0546e+00
 3.3200e-01    1.3775e+02   -9.1780e-01    1.0546e+00
 3.3300e-01    1.3776e+02   -9.1773e-01    1.0545e+00
 3.3400e-01    1.3776e+02   -9.1763e-01    1.0544e+00
 3.3500e-01    1.3777e+02   -9.1751e-01    1.0543e+00
 3.3600e-01    1.3778e+02   -9.1736e-01    1.0541e+00
 3.3700e-01    1.3779e+02   -9.1719e-01    1.0539e+00
 3.3800e-01    1.3780e+02   -9.1701e-01    1.0538e+00
 3.3900e-01    1.3781e+02   -9.1683e-01    1.0536e+00
 3.4000e-01    1.3782e+02   -9.1664e-01    1.0534e+00
 3.4100e-01    1.3783e+02   -9.1644e-01    1.0532e+00
 3.4200e-01    1.3784e+02   -9.1622e-01    1.0530e+00
 3.4300e-01    1.3785e+02   -9.1597e-01    1.0527e+00
 3.4400e-01    1.3786e+02   -9.1570e-01    1.0525e+00
 3.4500e-01    1.3788e+02   -9.1540e-01    1.0522e+00
 3.4600e-01    1.3789e+02   -9.1508e-01    1.0519e+00
 3.4700e-01    1.3791e+02   -9.1473e-01    1.0516e+00
 3.4800e-01    1.3792e+02   -9.1437e-01    1.0512e+00
 3.4900e-01    1.3794e+02   -9.1401e-01    1.0509e+00
 3.5000e-01    1.3795e+02   -9.1364e-01    1.0505e+00
 3.5100e-01    1.3797e+02   -9.1328e-01    1.0502e+00
 3.5200e-01    1.3799e+02   -9.1292e-01    1.0499e+00
 3.5300e-01    1.3800e+02   -9.1256e-01    1.0495e+00
 3.5400e-01    1.3802e+02   -9.1222e-01    1.0492e+00
 3.5500e-01    1.3803e+02   -9.1189e-01    1.0489e+00
 3.5600e-01    1.3805e+02   -9.1157e-01    1.0486e+00
 3.5700e-01    1.3807e+02   -9.1124e-01    1.0483e+00
 3.5800e-01    1.3808e+02   -9.1091e-01    1.0480e+00
 3.5900e-01    1.3810e+02   -9.1059e-01    1.0477e+00
 3.6000e-01    1.3811e+02   -9.1027e-01    1.0474e+00
 3.6100e-01    1.3812e+02   -9.0997e-01    1.0471e+00
 3.6200e-01    1.3814e+02   -9.0969e-01    1.0468e+00
